raceId,driverId,start_pos,end_pos,pit_sec,pit_time_pct,positions_gained
Belgium_1994,MAR,10,8.0,35.734,0.9651032629988247,2.0
Belgium_1994,BER,11,10.0,35.376,0.9748699683401177,1.0
Belgium_1994,BER,11,,35.376,0.9748699683401177,
Belgium_1994,BLU,12,5.0,34.487,1.0,7.0
Belgium_1994,BRU,13,,35.369,0.9750629081964433,
Belgium_1994,MOR,14,6.0,39.31,0.8773085728822183,8.0
Belgium_1994,DEC,15,,41.12,0.8386916342412453,
Belgium_1994,BER,16,10.0,35.376,0.9748699683401177,6.0
Belgium_1994,BER,16,,35.376,0.9748699683401177,
Belgium_1994,PAN,17,7.0,39.089,0.8822686689349946,10.0
Belgium_1994,ALB,18,9.0,35.548,0.9701530325194104,9.0
Belgium_1994,BRA,21,,40.119,0.8596176375283532,
Belgium_1994,KAT,23,,35.599,0.9687631675047054,
Belgium_1994,FIT,24,,36.229,0.9519169725910183,
Belgium_1994,GOU,25,11.0,41.997,0.8211777031692741,14.0
Italy_1994,BER,2,2.0,27.402,0.8910663455222246,0.0
Italy_1994,BER,2,7.0,27.402,0.8910663455222246,-5.0
Italy_1994,HIL,3,1.0,25.445,0.959599135390057,2.0
Italy_1994,COU,5,6.0,24.417,1.0,-1.0
Italy_1994,PAN,6,10.0,50.948,0.47925335636335087,-4.0
Italy_1994,HAK,7,3.0,25.453,0.959297528778533,4.0
Italy_1994,IRV,9,,27.798,0.8783725447873949,
Italy_1994,BER,12,2.0,27.402,0.8910663455222246,10.0
Italy_1994,BER,12,7.0,27.402,0.8910663455222246,5.0
Italy_1994,KAT,14,,41.443,0.5891706681466111,
Italy_1994,BRU,15,5.0,25.674,0.9510399626080861,10.0
Italy_1994,BAR,16,4.0,26.614,0.9174494626888104,12.0
Italy_1994,MAR,18,,25.719,0.9493759477429138,
Italy_1994,FIT,19,,25.005,0.9764847030593882,
Italy_1994,JAR,20,9.0,41.815,0.5839292120052614,11.0
Italy_1994,BLU,21,,48.009,0.5085921389739424,
Italy_1994,ALB,22,,30.023,0.813276488025847,
Italy_1994,COM,24,8.0,26.857,0.9091484529173028,16.0
Italy_1994,BRA,26,,30.799,0.7927854800480536,
Portugal_1994,BER,1,10.0,28.995,1.0,-9.0
Portugal_1994,BER,1,,28.995,1.0,
Portugal_1994,HIL,2,1.0,42.0235,0.6899710876057444,1.0
Portugal_1994,COU,3,2.0,43.574,0.6654197457199248,1.0
Portugal_1994,HAK,4,3.0,41.6075,0.6968695547677702,1.0
Portugal_1994,ALE,5,,29.084,0.9969398982258287,
Portugal_1994,KAT,6,,30.411,0.9534379007595936,
Portugal_1994,BRU,7,6.0,41.7095,0.6951653699996404,1.0
Portugal_1994,BAR,8,4.0,43.0335,0.6737774059744154,4.0
Portugal_1994,VER,10,5.0,41.413,0.7001424673411731,5.0
Portugal_1994,FIT,11,8.0,31.149,0.9308485023596264,3.0
Portugal_1994,BLU,12,,42.829,0.6769945597609097,
Portugal_1994,IRV,13,7.0,42.864000000000004,0.6764417693169092,6.0
Portugal_1994,JAR,14,,41.9885,0.6905462209890804,
Portugal_1994,MOR,16,9.0,30.45,0.952216748768473,7.0
Portugal_1994,DEC,17,,32.301,0.8976502275471347,
Portugal_1994,MAR,18,12.0,57.255,0.5064186533927167,6.0
Portugal_1994,ALB,19,13.0,32.665,0.8876473289453544,6.0
Portugal_1994,HER,20,11.0,44.9095,0.6456317705607945,9.0
Portugal_1994,BER,21,10.0,28.995,1.0,11.0
Portugal_1994,BER,21,,28.995,1.0,
Portugal_1994,DAL,23,14.0,40.259,0.7202116296977074,9.0
Portugal_1994,BRA,24,,45.367,0.6391209469438138,
Portugal_1994,ADA,25,16.0,32.074,0.9040032425017148,9.0
Portugal_1994,GOU,26,15.0,32.034,0.9051320471998502,11.0
Europe_1994,MSC,1,1.0,38.5845,0.7504567896435097,0.0
Europe_1994,HIL,2,2.0,40.4415,0.7159971811134602,0.0
Europe_1994,FRE,4,6.0,30.351,0.9540377582287239,-2.0
Europe_1994,BAR,5,12.0,41.067,0.7050916794506538,-7.0
Europe_1994,BER,6,5.0,39.47466666666667,0.7335337431601702,1.0
Europe_1994,BER,6,18.0,39.47466666666667,0.7335337431601702,-12.0
Europe_1994,HER,7,8.0,42.665,0.6786827610453533,-1.0
Europe_1994,MOR,8,11.0,43.4945,0.6657393463541367,-3.0
Europe_1994,HAK,9,3.0,36.9825,0.7829649158385722,6.0
Europe_1994,IRV,10,4.0,41.0215,0.7058737491315529,6.0
Europe_1994,PAN,11,9.0,38.5755,0.750631877746238,2.0
Europe_1994,KAT,13,7.0,40.792500000000004,0.709836366979224,6.0
Europe_1994,BLU,14,13.0,43.8675,0.6600786459223799,1.0
Europe_1994,ALE,16,10.0,42.5395,0.680685010402097,6.0
Europe_1994,MAR,17,15.0,44.683,0.6480316899044379,2.0
Europe_1994,DEC,18,,30.865,0.9381500080997894,
Europe_1994,ALB,20,14.0,32.024,0.9041968523607294,6.0
Europe_1994,ZAN,21,16.0,42.636,0.6791443850267379,5.0
Europe_1994,BER,22,5.0,39.47466666666667,0.7335337431601702,17.0
Europe_1994,BER,22,18.0,39.47466666666667,0.7335337431601702,4.0
Europe_1994,COM,23,,28.956,1.0,
Europe_1994,BRA,25,,34.177,0.8472364455628054,
